employee_id,department,job_title,annual_salary,overtime_flag,employment_status,employment_type,fte,start_date,termination_date,base_rate,age,gender,marital_status,total_working_years,years_at_company
55,Research & Development,Laboratory Technician,27516,No,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,13.93,26,Male,Single,1,1
56,Sales,Sales Executive,104712,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,52.99,27,Male,Single,9,9
57,Research & Development,Laboratory Technician,48132,No,ACTIVE,FULL_TIME,1.0,2012-01-04,,24.36,30,Female,Single,12,12
58,Research & Development,Research Director,234540,No,TERMINATED,FULL_TIME,1.0,2002-01-06,2025-12-31,118.69,41,Female,Married,23,22
60,Sales,Sales Executive,54816,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,27.74,34,Male,Single,10,9
61,Research & Development,Research Scientist,36264,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,18.35,37,Male,Married,8,1
62,Sales,Sales Executive,69264,Yes,ACTIVE,FULL_TIME,1.0,2015-01-03,,35.05,46,Male,Single,14,9
63,Research & Development,Laboratory Technician,27228,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,13.78,35,Male,Married,1,1
64,Research & Development,Laboratory Technician,64572,Yes,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,32.68,48,Male,Single,23,1
65,Research & Development,Laboratory Technician,41292,Yes,TERMINATED,FULL_TIME,1.0,2022-01-01,2025-12-31,20.9,28,Male,Single,2,2
68,Sales,Sales Executive,65448,Yes,ACTIVE,FULL_TIME,1.0,2020-01-02,,33.12,44,Female,Divorced,9,4
70,Research & Development,Healthcare Representative,118608,Yes,ACTIVE,FULL_TIME,1.0,2020-01-02,,60.02,35,Male,Married,10,4
72,Sales,Sales Executive,49884,Yes,ACTIVE,FULL_TIME,1.0,2022-01-01,,25.24,26,Female,Married,5,2
73,Research & Development,Research Director,161496,Yes,ACTIVE,FULL_TIME,1.0,2009-01-04,,81.73,33,Female,Single,15,15
74,Sales,Sales Executive,108828,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,55.07,35,Male,Married,9,9
75,Research & Development,Laboratory Technician,48168,Yes,ACTIVE,FULL_TIME,1.0,2022-01-01,,24.38,35,Female,Married,4,2
76,Research & Development,Laboratory Technician,70980,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,35.92,31,Male,Divorced,10,7
77,Research & Development,Manufacturing Director,71916,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,36.39,37,Male,Divorced,7,7
78,Research & Development,Manufacturing Director,73944,Yes,ACTIVE,FULL_TIME,1.0,2015-01-03,,37.42,32,Male,Married,9,9
79,Research & Development,Laboratory Technician,28872,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,14.61,38,Female,Single,10,10
80,Research & Development,Research Director,224880,Yes,ACTIVE,FULL_TIME,1.0,1997-01-07,,113.81,50,Female,Divorced,29,27
81,Sales,Sales Executive,91644,No,ACTIVE,FULL_TIME,1.0,2003-01-06,,46.38,59,Female,Single,28,21
83,Research & Development,Healthcare Representative,121152,No,ACTIVE,FULL_TIME,1.0,2007-01-05,,61.31,36,Female,Divorced,17,17
84,Research & Development,Manager,177072,Yes,ACTIVE,FULL_TIME,1.0,2019-01-02,,89.61,55,Female,Divorced,21,5
85,Research & Development,Manufacturing Director,77988,No,ACTIVE,FULL_TIME,1.0,2018-01-02,,39.47,36,Male,Single,6,6
86,Research & Development,Research Scientist,116688,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,59.05,45,Male,Divorced,25,1
88,Research & Development,Research Scientist,26328,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,13.32,35,Male,Married,5,3
90,Research & Development,Research Scientist,40656,Yes,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,20.57,36,Male,Married,2,1
91,Sales,Sales Executive,65676,No,ACTIVE,FULL_TIME,1.0,2020-01-02,,33.24,59,Female,Single,20,4
94,Research & Development,Research Scientist,32436,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,16.41,29,Male,Married,6,5
95,Research & Development,Research Scientist,30012,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,15.19,31,Male,Single,1,1
96,Research & Development,Research Scientist,74640,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,37.77,32,Male,Married,10,10
97,Research & Development,Laboratory Technician,36456,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,18.45,36,Female,Married,5,1
98,Research & Development,Manufacturing Director,53088,No,ACTIVE,FULL_TIME,1.0,2013-01-03,,26.87,31,Female,Single,11,11
100,Sales,Sales Executive,51744,No,ACTIVE,FULL_TIME,1.0,2009-01-04,,26.19,35,Male,Single,16,15
101,Research & Development,Research Director,158940,Yes,ACTIVE,FULL_TIME,1.0,2024-01-01,,80.44,45,Male,Married,17,0
102,Research & Development,Research Director,163968,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,82.98,37,Male,Single,16,5
103,Human Resources,Human Resources,60252,Yes,ACTIVE,FULL_TIME,1.0,2020-01-02,,30.49,46,Male,Divorced,16,4
104,Research & Development,Laboratory Technician,61512,Yes,ACTIVE,FULL_TIME,1.0,2014-01-03,,31.13,30,Male,Married,10,10
105,Research & Development,Research Scientist,34308,No,ACTIVE,FULL_TIME,1.0,2018-01-02,,17.36,35,Male,Single,6,6
106,Sales,Sales Executive,122868,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,62.18,55,Male,Married,24,1
107,Research & Development,Research Scientist,63948,Yes,ACTIVE,FULL_TIME,1.0,2011-01-04,,32.36,38,Female,Divorced,17,13
110,Research & Development,Manufacturing Director,51900,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,26.27,34,Male,Married,5,5
112,Research & Development,Manufacturing Director,87120,No,ACTIVE,FULL_TIME,1.0,2018-01-02,,44.09,56,Male,Single,37,6
113,Sales,Sales Representative,27864,No,ACTIVE,FULL_TIME,1.0,2024-01-01,,14.1,23,Male,Divorced,3,0
116,Research & Development,Laboratory Technician,24900,No,ACTIVE,FULL_TIME,1.0,2020-01-02,,12.6,51,Male,Married,10,4
117,Research & Development,Healthcare Representative,49824,No,ACTIVE,FULL_TIME,1.0,2013-01-03,,25.21,30,Male,Married,11,11
118,Sales,Sales Executive,115428,No,TERMINATED,FULL_TIME,1.0,2015-01-03,2025-12-31,58.41,46,Male,Single,9,9
119,Research & Development,Healthcare Representative,162036,No,ACTIVE,FULL_TIME,1.0,2002-01-06,,82.0,40,Male,Married,22,22
120,Sales,Sales Executive,65292,Yes,ACTIVE,FULL_TIME,1.0,2014-01-03,,33.04,51,Male,Single,11,10
121,Sales,Sales Executive,62508,Yes,ACTIVE,FULL_TIME,1.0,2013-01-03,,31.63,30,Female,Divorced,11,11
124,Research & Development,Healthcare Representative,128076,Yes,ACTIVE,FULL_TIME,1.0,2014-01-03,,64.82,46,Male,Married,21,10
125,Sales,Sales Executive,60120,No,ACTIVE,FULL_TIME,1.0,2013-01-03,,30.43,32,Male,Single,12,11
126,Research & Development,Research Director,162588,No,ACTIVE,FULL_TIME,1.0,2020-01-02,,82.28,54,Female,Married,16,4
128,Sales,Sales Executive,59988,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,30.36,24,Female,Married,4,3
129,Sales,Sales Executive,50652,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,25.63,28,Male,Married,5,5
131,Sales,Sales Executive,166464,No,ACTIVE,FULL_TIME,1.0,1987-01-10,,84.24,58,Male,Single,38,37
132,Research & Development,Laboratory Technician,24504,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,12.4,44,Male,Married,17,3
133,Human Resources,Human Resources,24876,Yes,TERMINATED,FULL_TIME,1.0,2021-01-01,2025-12-31,12.59,37,Male,Divorced,7,3
134,Research & Development,Research Scientist,35472,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,17.95,32,Male,Single,1,1
137,Research & Development,Laboratory Technician,35112,Yes,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,17.77,20,Female,Single,1,1
138,Research & Development,Research Scientist,57708,No,ACTIVE,FULL_TIME,1.0,2008-01-05,,29.2,34,Female,Single,16,16
139,Research & Development,Healthcare Representative,61956,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,31.35,37,Male,Divorced,17,1
140,Human Resources,Manager,226128,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,114.44,59,Female,Married,30,3
141,Research & Development,Research Director,218064,Yes,ACTIVE,FULL_TIME,1.0,2016-01-03,,110.36,50,Female,Married,28,8
142,Sales,Sales Executive,68928,Yes,TERMINATED,FULL_TIME,1.0,2018-01-02,2025-12-31,34.88,25,Male,Single,6,6
143,Research & Development,Research Scientist,34668,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,17.54,25,Male,Married,2,2
144,Research & Development,Laboratory Technician,34452,No,ACTIVE,FULL_TIME,1.0,2024-01-01,,17.44,22,Female,Single,1,0
145,Research & Development,Healthcare Representative,89808,No,ACTIVE,FULL_TIME,1.0,2011-01-04,,45.45,51,Female,Single,23,13
147,Research & Development,Laboratory Technician,72888,Yes,TERMINATED,FULL_TIME,1.0,2015-01-03,2025-12-31,36.89,34,Male,Single,9,9
148,Human Resources,Manager,207936,Yes,ACTIVE,FULL_TIME,1.0,2019-01-02,,105.23,54,Female,Single,23,5
150,Research & Development,Laboratory Technician,33288,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,16.85,24,Male,Married,6,5
151,Research & Development,Research Scientist,54060,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,27.36,34,Female,Divorced,12,1
152,Sales,Sales Executive,89136,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,45.11,37,Male,Single,12,5
153,Research & Development,Manager,139572,No,ACTIVE,FULL_TIME,1.0,2013-01-03,,70.63,34,Female,Single,14,11
154,Sales,Sales Executive,116856,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,59.14,36,Female,Married,10,9
155,Research & Development,Laboratory Technician,34020,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,17.22,36,Female,Divorced,7,1
158,Sales,Manager,203508,Yes,ACTIVE,FULL_TIME,1.0,1999-01-07,,102.99,43,Male,Married,25,25
159,Research & Development,Research Scientist,31356,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,15.87,30,Male,Divorced,10,10
160,Sales,Sales Executive,73752,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,37.32,33,Male,Married,8,7
161,Research & Development,Research Scientist,59556,Yes,TERMINATED,FULL_TIME,1.0,2019-01-02,2025-12-31,30.14,56,Female,Married,7,5
162,Research & Development,Research Director,234444,No,ACTIVE,FULL_TIME,1.0,2004-01-06,,118.65,51,Male,Single,23,20
163,Sales,Sales Executive,74064,Yes,TERMINATED,FULL_TIME,1.0,2017-01-02,2025-12-31,37.48,31,Male,Married,12,7
164,Research & Development,Research Scientist,28416,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,14.38,26,Female,Married,5,5
165,Research & Development,Healthcare Representative,123744,No,TERMINATED,FULL_TIME,1.0,1984-01-11,2025-12-31,62.62,58,Female,Married,40,40
167,Sales,Sales Representative,20100,Yes,TERMINATED,FULL_TIME,1.0,2024-01-01,2025-12-31,10.17,19,Male,Single,0,0
169,Research & Development,Laboratory Technician,30276,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,15.32,22,Male,Married,3,2
170,Research & Development,Manufacturing Director,78804,No,ACTIVE,FULL_TIME,1.0,2009-01-04,,39.88,49,Female,Married,16,15
171,Research & Development,Research Scientist,56868,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,28.78,43,Female,Single,18,3
174,Sales,Sales Executive,110496,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,55.92,50,Female,Single,16,2
175,Sales,Sales Executive,54708,Yes,TERMINATED,FULL_TIME,1.0,2022-01-01,2025-12-31,27.69,31,Female,Married,4,2
176,Sales,Sales Executive,98268,Yes,ACTIVE,FULL_TIME,1.0,2015-01-03,,49.73,41,Male,Divorced,12,9
177,Human Resources,Human Resources,35304,No,ACTIVE,FULL_TIME,1.0,2016-01-03,,17.87,26,Female,Married,8,8
178,Research & Development,Manufacturing Director,59292,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,30.01,36,Male,Divorced,7,3
179,Research & Development,Manufacturing Director,127800,No,TERMINATED,FULL_TIME,1.0,2020-01-02,2025-12-31,64.68,51,Male,Single,18,4
182,Sales,Sales Executive,70824,No,ACTIVE,FULL_TIME,1.0,2009-01-04,,35.84,39,Female,Married,17,15
183,Sales,Sales Executive,103668,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,52.46,25,Male,Married,6,2
184,Human Resources,Human Resources,76164,Yes,ACTIVE,FULL_TIME,1.0,2013-01-03,,38.54,30,Male,Married,12,11
190,Research & Development,Laboratory Technician,50400,No,TERMINATED,FULL_TIME,1.0,2019-01-02,2025-12-31,25.51,32,Female,Single,10,5
192,Research & Development,Research Scientist,41424,No,ACTIVE,FULL_TIME,1.0,2018-01-02,,20.96,45,Male,Single,9,6
193,Research & Development,Research Scientist,51804,Yes,ACTIVE,FULL_TIME,1.0,2021-01-01,,26.22,38,Female,Single,19,3
194,Research & Development,Research Scientist,31584,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,15.98,30,Female,Single,5,5
195,Sales,Sales Executive,56016,No,ACTIVE,FULL_TIME,1.0,2016-01-03,,28.35,32,Male,Divorced,9,8
197,Research & Development,Research Scientist,38448,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,19.46,30,Female,Divorced,8,3
198,Research & Development,Laboratory Technician,32640,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,16.52,30,Male,Single,6,5
199,Research & Development,Manager,206172,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,104.34,41,Male,Divorced,21,7
200,Research & Development,Laboratory Technician,26856,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,13.59,41,Male,Married,7,5
201,Research & Development,Laboratory Technician,17796,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,9.01,19,Female,Single,1,1
202,Research & Development,Research Scientist,67260,No,ACTIVE,FULL_TIME,1.0,2004-01-06,,34.04,40,Female,Divorced,20,20
204,Sales,Sales Executive,87540,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,44.3,35,Male,Married,10,10
205,Sales,Sales Representative,27672,Yes,ACTIVE,FULL_TIME,1.0,2017-01-02,,14.0,53,Male,Married,13,7
206,Research & Development,Laboratory Technician,28176,No,ACTIVE,FULL_TIME,1.0,2007-01-05,,14.26,45,Male,Divorced,20,17
207,Sales,Sales Executive,107976,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,54.64,32,Female,Single,9,9
208,Research & Development,Manufacturing Director,51828,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,26.23,29,Male,Married,10,10
211,Research & Development,Manufacturing Director,73584,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,37.24,51,Male,Married,10,1
214,Research & Development,Research Scientist,40152,Yes,ACTIVE,FULL_TIME,1.0,2023-01-01,,20.32,58,Female,Married,9,1
215,Sales,Sales Executive,130260,No,ACTIVE,FULL_TIME,1.0,2012-01-04,,65.92,40,Male,Married,15,12
216,Sales,Sales Representative,26772,No,ACTIVE,FULL_TIME,1.0,2020-01-02,,13.55,34,Female,Married,6,4
217,Research & Development,Research Scientist,27876,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,14.11,22,Male,Married,2,2
218,Research & Development,Research Scientist,24288,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,12.29,27,Male,Divorced,6,2
221,Research & Development,Research Scientist,32556,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,16.48,28,Male,Married,5,5
223,Research & Development,Healthcare Representative,113268,Yes,ACTIVE,FULL_TIME,1.0,2019-01-02,,57.32,57,Male,Divorced,12,5
224,Research & Development,Research Scientist,30792,Yes,ACTIVE,FULL_TIME,1.0,2023-01-01,,15.58,27,Male,Divorced,1,1
226,Research & Development,Manager,239112,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,121.01,50,Female,Single,21,5
227,Research & Development,Research Scientist,29412,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,14.88,41,Male,Divorced,13,9
228,Sales,Sales Executive,113028,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,57.2,30,Female,Married,12,10
230,Sales,Sales Executive,104232,No,ACTIVE,FULL_TIME,1.0,2016-01-03,,52.75,38,Female,Single,12,8
231,Research & Development,Research Scientist,36456,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,18.45,32,Male,Single,8,5
233,Research & Development,Research Scientist,36696,Yes,ACTIVE,FULL_TIME,1.0,2019-01-02,,18.57,27,Male,Married,6,5
235,Sales,Sales Representative,27900,No,TERMINATED,FULL_TIME,1.0,2024-01-01,2025-12-31,14.12,19,Female,Single,1,0
238,Research & Development,Laboratory Technician,25056,No,ACTIVE,FULL_TIME,1.0,2016-01-03,,12.68,36,Male,Single,13,8
239,Research & Development,Laboratory Technician,36864,No,ACTIVE,FULL_TIME,1.0,2012-01-04,,18.66,30,Male,Divorced,12,12
240,Sales,Sales Executive,60072,Yes,ACTIVE,FULL_TIME,1.0,2019-01-02,,30.4,45,Female,Divorced,9,5
241,Research & Development,Research Scientist,51084,Yes,ACTIVE,FULL_TIME,1.0,2022-01-01,,25.85,56,Female,Divorced,19,2
242,Research & Development,Research Scientist,30000,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,15.18,33,Male,Single,4,3
243,Research & Development,Laboratory Technician,13224,No,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,6.69,19,Male,Single,1,1
244,Sales,Sales Executive,125436,No,ACTIVE,FULL_TIME,1.0,2000-01-07,,63.48,46,Female,Divorced,24,24
245,Research & Development,Laboratory Technician,27456,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,13.89,38,Female,Single,2,2
246,Research & Development,Research Scientist,47148,Yes,ACTIVE,FULL_TIME,1.0,2020-01-02,,23.86,31,Female,Married,7,4
247,Research & Development,Research Scientist,27732,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,14.03,34,Female,Single,9,3
248,Sales,Sales Representative,37680,Yes,TERMINATED,FULL_TIME,1.0,2020-01-02,2025-12-31,19.07,41,Female,Single,4,4
249,Research & Development,Laboratory Technician,44280,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,22.41,50,Male,Married,5,3
250,Research & Development,Manufacturing Director,53400,No,ACTIVE,FULL_TIME,1.0,2020-01-02,,27.02,53,Female,Divorced,5,4
252,Research & Development,Research Scientist,33072,No,ACTIVE,FULL_TIME,1.0,2016-01-03,,16.74,33,Female,Married,8,8
253,Research & Development,Manager,228396,No,ACTIVE,FULL_TIME,1.0,2004-01-06,,115.59,40,Female,Married,21,20
254,Research & Development,Research Director,224664,No,ACTIVE,FULL_TIME,1.0,2000-01-07,,113.7,55,Male,Single,36,24
256,Research & Development,Manufacturing Director,114564,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,57.98,34,Male,Married,10,10
258,Research & Development,Healthcare Representative,164808,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,83.4,51,Female,Single,21,7
259,Research & Development,Manager,239988,No,ACTIVE,FULL_TIME,1.0,1991-01-09,,121.45,52,Male,Married,34,33
260,Research & Development,Research Scientist,27348,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,13.84,27,Female,Single,7,7
261,Research & Development,Manufacturing Director,70992,Yes,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,35.93,35,Male,Married,8,1
262,Research & Development,Research Scientist,25068,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,12.69,43,Male,Divorced,7,5
264,Research & Development,Manager,201504,No,ACTIVE,FULL_TIME,1.0,2004-01-06,,101.98,45,Male,Married,22,20
267,Research & Development,Research Scientist,42768,Yes,ACTIVE,FULL_TIME,1.0,2016-01-03,,21.64,37,Male,Married,8,8
269,Research & Development,Laboratory Technician,53100,No,ACTIVE,FULL_TIME,1.0,2018-01-02,,26.87,35,Female,Single,10,6
270,Research & Development,Manufacturing Director,63180,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,31.97,42,Female,Divorced,11,5
271,Research & Development,Manufacturing Director,78636,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,39.8,38,Male,Married,14,1
273,Research & Development,Manufacturing Director,75132,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,38.02,38,Male,Married,9,7
274,Research & Development,Manufacturing Director,51576,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,26.1,27,Male,Married,6,2
275,Research & Development,Manufacturing Director,81648,Yes,ACTIVE,FULL_TIME,1.0,2017-01-02,,41.32,49,Male,Divorced,7,7
277,Research & Development,Research Scientist,45780,Yes,ACTIVE,FULL_TIME,1.0,2019-01-02,,23.17,34,Male,Divorced,5,5
281,Research & Development,Laboratory Technician,32892,Yes,ACTIVE,FULL_TIME,1.0,2017-01-02,,16.65,40,Male,Married,15,7
282,Research & Development,Healthcare Representative,80076,Yes,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,40.52,38,Male,Married,17,1
283,Sales,Sales Executive,91668,No,TERMINATED,FULL_TIME,1.0,2014-01-03,2025-12-31,46.39,29,Female,Married,10,10
284,Research & Development,Research Scientist,27936,Yes,ACTIVE,FULL_TIME,1.0,2020-01-02,,14.14,22,Male,Divorced,4,4
286,Research & Development,Laboratory Technician,25836,No,ACTIVE,FULL_TIME,1.0,2016-01-03,,13.07,36,Female,Single,8,8
287,Research & Development,Healthcare Representative,58512,No,ACTIVE,FULL_TIME,1.0,2021-01-01,,29.61,40,Male,Married,5,3
288,Research & Development,Healthcare Representative,112752,No,ACTIVE,FULL_TIME,1.0,2020-01-02,,57.06,46,Male,Divorced,17,4
291,Sales,Sales Executive,124800,No,TERMINATED,FULL_TIME,1.0,2010-01-04,2025-12-31,63.16,32,Male,Married,14,14
292,Research & Development,Manufacturing Director,101688,No,ACTIVE,FULL_TIME,1.0,2013-01-03,,51.46,30,Male,Single,12,11
293,Sales,Sales Executive,119772,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,60.61,27,Female,Single,7,7
