employee_id,pay_date,pay_period_start,pay_period_end,earning_code,earning_description,is_final_pay,units,rate,amount,gross_earnings
32,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,115.96,8812.62,8812.62
33,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,23.8,1808.77,1808.77
35,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,41.45,3150.0,3150.0
36,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,62.23,4729.85,4729.85
38,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,115.06,8744.77,8744.77
39,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.16,1152.0,1152.0
40,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,39.26,2983.85,2983.85
41,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.4,1018.15,1018.15
42,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.67,962.77,962.77
45,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.93,1058.31,1058.31
46,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.06,1220.77,1220.77
47,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.29,1238.31,1238.31
49,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.23,929.54,929.54
51,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.76,1578.0,1578.0
52,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,32.65,2481.23,2481.23
53,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,11.85,900.46,900.46
54,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.22,1080.46,1080.46
55,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.93,1058.31,1058.31
56,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,52.99,4027.38,4027.38
57,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,24.36,1851.23,1851.23
58,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,118.69,9020.77,9020.77
60,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,27.74,2108.31,2108.31
61,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,18.35,1394.77,1394.77
62,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,35.05,2664.0,2664.0
63,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.78,1047.23,1047.23
64,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,32.68,2483.54,2483.54
65,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.9,1588.15,1588.15
68,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,33.12,2517.23,2517.23
70,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,60.02,4561.85,4561.85
72,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,25.24,1918.62,1918.62
73,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,81.73,6211.38,6211.38
74,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,55.07,4185.69,4185.69
75,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,24.38,1852.62,1852.62
76,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,35.92,2730.0,2730.0
77,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,36.39,2766.0,2766.0
78,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,37.42,2844.0,2844.0
79,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.61,1110.46,1110.46
80,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,113.81,8649.23,8649.23
81,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,46.38,3524.77,3524.77
83,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,61.31,4659.69,4659.69
84,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,89.61,6810.46,6810.46
85,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,39.47,2999.54,2999.54
86,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,59.05,4488.0,4488.0
88,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.32,1012.62,1012.62
90,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.57,1563.69,1563.69
91,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,33.24,2526.0,2526.0
94,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.41,1247.54,1247.54
95,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.19,1154.31,1154.31
96,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,37.77,2870.77,2870.77
97,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,18.45,1402.15,1402.15
98,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.87,2041.85,2041.85
100,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.19,1990.15,1990.15
101,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,80.44,6113.08,6113.08
102,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,82.98,6306.46,6306.46
103,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,30.49,2317.38,2317.38
104,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,31.13,2365.85,2365.85
105,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.36,1319.54,1319.54
106,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,62.18,4725.69,4725.69
107,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,32.36,2459.54,2459.54
110,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.27,1996.15,1996.15
112,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,44.09,3350.77,3350.77
113,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.1,1071.69,1071.69
116,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.6,957.69,957.69
117,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,25.21,1916.31,1916.31
118,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,58.41,4439.54,4439.54
119,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,82.0,6232.15,6232.15
120,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,33.04,2511.23,2511.23
121,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,31.63,2404.15,2404.15
124,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,64.82,4926.0,4926.0
125,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,30.43,2312.31,2312.31
126,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,82.28,6253.38,6253.38
128,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,30.36,2307.23,2307.23
129,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,25.63,1948.15,1948.15
131,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,84.24,6402.46,6402.46
132,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.4,942.46,942.46
133,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.59,956.77,956.77
134,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.95,1364.31,1364.31
137,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.77,1350.46,1350.46
138,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,29.2,2219.54,2219.54
139,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,31.35,2382.92,2382.92
140,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,114.44,8697.23,8697.23
141,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,110.36,8387.08,8387.08
142,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,34.88,2651.08,2651.08
143,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.54,1333.38,1333.38
144,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.44,1325.08,1325.08
145,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,45.45,3454.15,3454.15
147,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,36.89,2803.38,2803.38
148,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,105.23,7997.54,7997.54
150,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.85,1280.31,1280.31
151,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,27.36,2079.23,2079.23
152,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,45.11,3428.31,3428.31
153,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,70.63,5368.15,5368.15
154,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,59.14,4494.46,4494.46
155,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.22,1308.46,1308.46
158,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,102.99,7827.23,7827.23
159,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.87,1206.0,1206.0
160,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,37.32,2836.62,2836.62
161,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,30.14,2290.62,2290.62
162,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,118.65,9017.08,9017.08
163,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,37.48,2848.62,2848.62
164,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.38,1092.92,1092.92
165,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,62.62,4759.38,4759.38
167,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,10.17,773.08,773.08
169,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.32,1164.46,1164.46
170,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,39.88,3030.92,3030.92
171,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,28.78,2187.23,2187.23
174,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,55.92,4249.85,4249.85
175,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,27.69,2104.15,2104.15
176,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,49.73,3779.54,3779.54
177,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.87,1357.85,1357.85
178,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,30.01,2280.46,2280.46
179,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,64.68,4915.38,4915.38
182,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,35.84,2724.0,2724.0
183,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,52.46,3987.23,3987.23
184,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,38.54,2929.38,2929.38
190,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,25.51,1938.46,1938.46
192,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.96,1593.23,1593.23
193,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.22,1992.46,1992.46
194,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.98,1214.77,1214.77
195,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,28.35,2154.46,2154.46
197,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,19.46,1478.77,1478.77
198,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.52,1255.38,1255.38
199,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,104.34,7929.69,7929.69
200,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.59,1032.92,1032.92
201,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,9.01,684.46,684.46
202,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,34.04,2586.92,2586.92
204,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,44.3,3366.92,3366.92
205,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.0,1064.31,1064.31
206,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.26,1083.69,1083.69
207,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,54.64,4152.92,4152.92
208,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.23,1993.38,1993.38
211,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,37.24,2830.15,2830.15
214,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.32,1544.31,1544.31
215,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,65.92,5010.0,5010.0
216,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.55,1029.69,1029.69
217,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.11,1072.15,1072.15
218,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.29,934.15,934.15
221,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.48,1252.15,1252.15
223,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,57.32,4356.46,4356.46
224,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.58,1184.31,1184.31
226,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,121.01,9196.62,9196.62
227,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.88,1131.23,1131.23
228,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,57.2,4347.23,4347.23
230,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,52.75,4008.92,4008.92
231,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,18.45,1402.15,1402.15
233,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,18.57,1411.38,1411.38
235,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.12,1073.08,1073.08
238,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.68,963.69,963.69
239,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,18.66,1417.85,1417.85
240,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,30.4,2310.46,2310.46
241,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,25.85,1964.77,1964.77
242,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.18,1153.85,1153.85
243,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,6.69,508.62,508.62
244,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,63.48,4824.46,4824.46
245,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.89,1056.0,1056.0
246,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,23.86,1813.38,1813.38
247,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.03,1066.62,1066.62
248,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,19.07,1449.23,1449.23
249,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,22.41,1703.08,1703.08
250,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,27.02,2053.85,2053.85
252,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.74,1272.0,1272.0
253,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,115.58,8784.46,8784.46
254,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,113.7,8640.92,8640.92
256,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,57.98,4406.31,4406.31
258,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,83.4,6338.77,6338.77
259,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,121.45,9230.31,9230.31
260,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.84,1051.85,1051.85
261,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,35.93,2730.46,2730.46
262,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.69,964.15,964.15
264,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,101.98,7750.15,7750.15
267,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,21.64,1644.92,1644.92
269,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.87,2042.31,2042.31
270,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,31.97,2430.0,2430.0
271,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,39.8,3024.46,3024.46
273,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,38.02,2889.69,2889.69
274,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.1,1983.69,1983.69
275,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,41.32,3140.31,3140.31
277,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,23.17,1760.77,1760.77
281,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.65,1265.08,1265.08
282,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,40.52,3079.85,3079.85
283,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,46.39,3525.69,3525.69
284,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.14,1074.46,1074.46
286,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.07,993.69,993.69
287,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,29.61,2250.46,2250.46
288,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,57.06,4336.62,4336.62
291,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,63.16,4800.0,4800.0
292,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,51.46,3911.08,3911.08
293,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,60.61,4606.62,4606.62
296,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,75.85,5764.62,5764.62
297,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.14,1226.31,1226.31
298,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,82.54,6272.77,6272.77
299,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,40.66,3090.46,3090.46
300,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.5,949.85,949.85
302,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,53.84,4091.54,4091.54
303,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,36.07,2741.54,2741.54
304,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,35.91,2729.54,2729.54
305,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.92,1210.15,1210.15
306,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,74.0,5623.85,5623.85
307,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,64.43,4896.46,4896.46
308,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,26.39,2005.38,2005.38
309,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.22,1004.77,1004.77
311,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.96,1289.08,1289.08
312,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,48.09,3654.46,3654.46
314,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,53.37,4056.46,4056.46
315,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.51,1102.62,1102.62
316,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,19.51,1482.46,1482.46
319,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,116.79,8876.31,8876.31
321,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.77,1046.31,1046.31
323,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,118.52,9007.85,9007.85
325,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.79,1124.31,1124.31
327,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,97.55,7414.15,7414.15
328,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.44,1249.38,1249.38
329,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,115.8,8800.62,8800.62
330,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,23.87,1814.31,1814.31
331,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,22.65,1721.54,1721.54
332,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,13.55,1030.15,1030.15
333,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,27.12,2060.77,2060.77
334,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,18.66,1417.85,1417.85
335,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.16,1531.85,1531.85
336,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,116.61,8862.46,8862.46
337,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,83.05,6311.54,6311.54
338,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.68,1343.54,1343.54
339,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,36.18,2749.38,2749.38
340,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,23.81,1809.23,1809.23
341,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,39.07,2969.54,2969.54
342,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,61.02,4637.54,4637.54
343,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,66.43,5048.31,5048.31
346,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.21,1080.0,1080.0
347,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,39.75,3020.77,3020.77
349,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,42.09,3198.92,3198.92
350,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,29.74,2260.62,2260.62
351,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,15.75,1196.77,1196.77
352,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,118.03,8970.46,8970.46
353,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.54,1256.77,1256.77
355,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,21.13,1605.69,1605.69
359,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.97,1289.54,1289.54
361,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,31.88,2422.62,2422.62
