employee_id,termination_date,termination_type,termination_reason,evidence_ref
291,2026-03-05,DISMISSAL,PERFORMANCE,TERM-0033
297,2026-03-06,RESIGNATION,VOLUNTARY,TERM-0034
299,2026-03-07,REDUNDANCY,ROLE_CEASED,TERM-0035
300,2026-03-08,DISMISSAL,PERFORMANCE,TERM-0036
315,2026-03-09,RESIGNATION,VOLUNTARY,TERM-0037
325,2026-03-10,REDUNDANCY,ROLE_CEASED,TERM-0038
328,2026-03-11,DISMISSAL,PERFORMANCE,TERM-0039
331,2026-03-12,RESIGNATION,VOLUNTARY,TERM-0040
342,2026-03-13,REDUNDANCY,ROLE_CEASED,TERM-0041
355,2026-03-14,DISMISSAL,PERFORMANCE,TERM-0042
364,2026-03-15,RESIGNATION,VOLUNTARY,TERM-0043
376,2026-03-16,REDUNDANCY,ROLE_CEASED,TERM-0044
392,2026-03-17,DISMISSAL,PERFORMANCE,TERM-0045
394,2026-03-18,RESIGNATION,VOLUNTARY,TERM-0046
401,2026-03-19,REDUNDANCY,ROLE_CEASED,TERM-0047
405,2026-03-20,DISMISSAL,PERFORMANCE,TERM-0048
433,2026-03-21,RESIGNATION,VOLUNTARY,TERM-0049
440,2026-03-22,REDUNDANCY,ROLE_CEASED,TERM-0050
445,2026-03-23,DISMISSAL,PERFORMANCE,TERM-0051
454,2026-03-24,RESIGNATION,VOLUNTARY,TERM-0052
478,2026-03-25,REDUNDANCY,ROLE_CEASED,TERM-0053
485,2026-03-26,DISMISSAL,PERFORMANCE,TERM-0054
488,2026-03-27,RESIGNATION,VOLUNTARY,TERM-0055
492,2026-03-28,REDUNDANCY,ROLE_CEASED,TERM-0056
494,2026-03-29,DISMISSAL,PERFORMANCE,TERM-0057
502,2026-03-30,RESIGNATION,VOLUNTARY,TERM-0058
510,2026-03-31,REDUNDANCY,ROLE_CEASED,TERM-0059
514,2026-04-01,DISMISSAL,PERFORMANCE,TERM-0060
538,2026-02-01,RESIGNATION,VOLUNTARY,TERM-0061
554,2026-02-02,REDUNDANCY,ROLE_CEASED,TERM-0062
555,2026-02-03,DISMISSAL,PERFORMANCE,TERM-0063
565,2026-02-04,RESIGNATION,VOLUNTARY,TERM-0064
566,2026-02-05,REDUNDANCY,ROLE_CEASED,TERM-0065
582,2026-02-06,DISMISSAL,PERFORMANCE,TERM-0066
584,2026-02-07,RESIGNATION,VOLUNTARY,TERM-0067
587,2026-02-08,REDUNDANCY,ROLE_CEASED,TERM-0068
590,2026-02-09,DISMISSAL,PERFORMANCE,TERM-0069
593,2026-02-10,RESIGNATION,VOLUNTARY,TERM-0070
608,2026-02-11,REDUNDANCY,ROLE_CEASED,TERM-0071
614,2026-02-12,DISMISSAL,PERFORMANCE,TERM-0072
622,2026-02-13,RESIGNATION,VOLUNTARY,TERM-0073
631,2026-02-14,REDUNDANCY,ROLE_CEASED,TERM-0074
647,2026-02-15,DISMISSAL,PERFORMANCE,TERM-0075
648,2026-02-16,RESIGNATION,VOLUNTARY,TERM-0076
650,2026-02-17,REDUNDANCY,ROLE_CEASED,TERM-0077
667,2026-02-18,DISMISSAL,PERFORMANCE,TERM-0078
684,2026-02-19,RESIGNATION,VOLUNTARY,TERM-0079
701,2026-02-20,REDUNDANCY,ROLE_CEASED,TERM-0080
702,2026-02-21,DISMISSAL,PERFORMANCE,TERM-0081
720,2026-02-22,RESIGNATION,VOLUNTARY,TERM-0082
723,2026-02-23,REDUNDANCY,ROLE_CEASED,TERM-0083
741,2026-02-24,DISMISSAL,PERFORMANCE,TERM-0084
752,2026-02-25,RESIGNATION,VOLUNTARY,TERM-0085
780,2026-02-26,REDUNDANCY,ROLE_CEASED,TERM-0086
785,2026-02-27,DISMISSAL,PERFORMANCE,TERM-0087
787,2026-02-28,RESIGNATION,VOLUNTARY,TERM-0088
796,2026-03-01,REDUNDANCY,ROLE_CEASED,TERM-0089
811,2026-03-02,DISMISSAL,PERFORMANCE,TERM-0090
816,2026-03-03,RESIGNATION,VOLUNTARY,TERM-0091
819,2026-03-04,REDUNDANCY,ROLE_CEASED,TERM-0092
825,2026-03-05,DISMISSAL,PERFORMANCE,TERM-0093
828,2026-03-06,RESIGNATION,VOLUNTARY,TERM-0094
840,2026-03-07,REDUNDANCY,ROLE_CEASED,TERM-0095
842,2026-03-08,DISMISSAL,PERFORMANCE,TERM-0096
848,2026-03-09,RESIGNATION,VOLUNTARY,TERM-0097
881,2026-03-10,REDUNDANCY,ROLE_CEASED,TERM-0098
896,2026-03-11,DISMISSAL,PERFORMANCE,TERM-0099
911,2026-03-12,RESIGNATION,VOLUNTARY,TERM-0100
918,2026-03-13,REDUNDANCY,ROLE_CEASED,TERM-0101
922,2026-03-14,DISMISSAL,PERFORMANCE,TERM-0102
923,2026-03-15,RESIGNATION,VOLUNTARY,TERM-0103
926,2026-03-16,REDUNDANCY,ROLE_CEASED,TERM-0104
927,2026-03-17,DISMISSAL,PERFORMANCE,TERM-0105
932,2026-03-18,RESIGNATION,VOLUNTARY,TERM-0106
952,2026-03-19,REDUNDANCY,ROLE_CEASED,TERM-0107
959,2026-03-20,DISMISSAL,PERFORMANCE,TERM-0108
960,2026-03-21,RESIGNATION,VOLUNTARY,TERM-0109
967,2026-03-22,REDUNDANCY,ROLE_CEASED,TERM-0110
970,2026-03-23,DISMISSAL,PERFORMANCE,TERM-0111
977,2026-03-24,RESIGNATION,VOLUNTARY,TERM-0112
986,2026-03-25,REDUNDANCY,ROLE_CEASED,TERM-0113
991,2026-03-26,DISMISSAL,PERFORMANCE,TERM-0114
994,2026-03-27,RESIGNATION,VOLUNTARY,TERM-0115
1004,2026-03-28,REDUNDANCY,ROLE_CEASED,TERM-0116
1010,2026-03-29,DISMISSAL,PERFORMANCE,TERM-0117
1016,2026-03-30,RESIGNATION,VOLUNTARY,TERM-0118
1017,2026-03-31,REDUNDANCY,ROLE_CEASED,TERM-0119
1033,2026-04-01,DISMISSAL,PERFORMANCE,TERM-0120
1037,2026-02-01,RESIGNATION,VOLUNTARY,TERM-0121
1038,2026-02-02,REDUNDANCY,ROLE_CEASED,TERM-0122
1042,2026-02-03,DISMISSAL,PERFORMANCE,TERM-0123
1052,2026-02-04,RESIGNATION,VOLUNTARY,TERM-0124
1053,2026-02-05,REDUNDANCY,ROLE_CEASED,TERM-0125
1077,2026-02-06,DISMISSAL,PERFORMANCE,TERM-0126
1079,2026-02-07,RESIGNATION,VOLUNTARY,TERM-0127
1081,2026-02-08,REDUNDANCY,ROLE_CEASED,TERM-0128
1082,2026-02-09,DISMISSAL,PERFORMANCE,TERM-0129
1098,2026-02-10,RESIGNATION,VOLUNTARY,TERM-0130
1100,2026-02-11,REDUNDANCY,ROLE_CEASED,TERM-0131
1101,2026-02-12,DISMISSAL,PERFORMANCE,TERM-0132
1106,2026-02-13,RESIGNATION,VOLUNTARY,TERM-0133
1107,2026-02-14,REDUNDANCY,ROLE_CEASED,TERM-0134
1108,2026-02-15,DISMISSAL,PERFORMANCE,TERM-0135
1111,2026-02-16,RESIGNATION,VOLUNTARY,TERM-0136
1113,2026-02-17,REDUNDANCY,ROLE_CEASED,TERM-0137
1127,2026-02-18,DISMISSAL,PERFORMANCE,TERM-0138
1156,2026-02-19,RESIGNATION,VOLUNTARY,TERM-0139
1157,2026-02-20,REDUNDANCY,ROLE_CEASED,TERM-0140
1160,2026-02-21,DISMISSAL,PERFORMANCE,TERM-0141
1165,2026-02-22,RESIGNATION,VOLUNTARY,TERM-0142
1167,2026-02-23,REDUNDANCY,ROLE_CEASED,TERM-0143
1175,2026-02-24,DISMISSAL,PERFORMANCE,TERM-0144
1188,2026-02-25,RESIGNATION,VOLUNTARY,TERM-0145
1200,2026-02-26,REDUNDANCY,ROLE_CEASED,TERM-0146
1203,2026-02-27,DISMISSAL,PERFORMANCE,TERM-0147
1210,2026-02-28,RESIGNATION,VOLUNTARY,TERM-0148
1219,2026-03-01,REDUNDANCY,ROLE_CEASED,TERM-0149
1248,2026-03-02,DISMISSAL,PERFORMANCE,TERM-0150
1273,2026-03-03,RESIGNATION,VOLUNTARY,TERM-0151
1277,2026-03-04,REDUNDANCY,ROLE_CEASED,TERM-0152
1279,2026-03-05,DISMISSAL,PERFORMANCE,TERM-0153
1295,2026-03-06,RESIGNATION,VOLUNTARY,TERM-0154
1299,2026-03-07,REDUNDANCY,ROLE_CEASED,TERM-0155
1309,2026-03-08,DISMISSAL,PERFORMANCE,TERM-0156
1310,2026-03-09,RESIGNATION,VOLUNTARY,TERM-0157
1318,2026-03-10,REDUNDANCY,ROLE_CEASED,TERM-0158
1319,2026-03-11,DISMISSAL,PERFORMANCE,TERM-0159
1331,2026-03-12,RESIGNATION,VOLUNTARY,TERM-0160
1333,2026-03-13,REDUNDANCY,ROLE_CEASED,TERM-0161
1360,2026-03-14,DISMISSAL,PERFORMANCE,TERM-0162
1372,2026-03-15,RESIGNATION,VOLUNTARY,TERM-0163
1379,2026-03-16,REDUNDANCY,ROLE_CEASED,TERM-0164
1380,2026-03-17,DISMISSAL,PERFORMANCE,TERM-0165
1389,2026-03-18,RESIGNATION,VOLUNTARY,TERM-0166
1405,2026-03-19,REDUNDANCY,ROLE_CEASED,TERM-0167
1420,2026-03-20,DISMISSAL,PERFORMANCE,TERM-0168
1421,2026-03-21,RESIGNATION,VOLUNTARY,TERM-0169
1427,2026-03-22,REDUNDANCY,ROLE_CEASED,TERM-0170
1433,2026-03-23,DISMISSAL,PERFORMANCE,TERM-0171
1439,2026-03-24,RESIGNATION,VOLUNTARY,TERM-0172
1457,2026-03-25,REDUNDANCY,ROLE_CEASED,TERM-0173
1458,2026-03-26,DISMISSAL,PERFORMANCE,TERM-0174
1459,2026-03-27,RESIGNATION,VOLUNTARY,TERM-0175
1464,2026-03-28,REDUNDANCY,ROLE_CEASED,TERM-0176
1467,2026-03-29,DISMISSAL,PERFORMANCE,TERM-0177
1486,2026-03-30,RESIGNATION,VOLUNTARY,TERM-0178
1487,2026-03-31,REDUNDANCY,ROLE_CEASED,TERM-0179
1489,2026-04-01,DISMISSAL,PERFORMANCE,TERM-0180
1494,2026-02-01,RESIGNATION,VOLUNTARY,TERM-0181
1504,2026-02-02,REDUNDANCY,ROLE_CEASED,TERM-0182
1522,2026-02-03,DISMISSAL,PERFORMANCE,TERM-0183
1534,2026-02-04,RESIGNATION,VOLUNTARY,TERM-0184
1537,2026-02-05,REDUNDANCY,ROLE_CEASED,TERM-0185
1562,2026-02-06,DISMISSAL,PERFORMANCE,TERM-0186
1569,2026-02-07,RESIGNATION,VOLUNTARY,TERM-0187
1572,2026-02-08,REDUNDANCY,ROLE_CEASED,TERM-0188
1573,2026-02-09,DISMISSAL,PERFORMANCE,TERM-0189
1604,2026-02-10,RESIGNATION,VOLUNTARY,TERM-0190
1624,2026-02-11,REDUNDANCY,ROLE_CEASED,TERM-0191
1639,2026-02-12,DISMISSAL,PERFORMANCE,TERM-0192
1645,2026-02-13,RESIGNATION,VOLUNTARY,TERM-0193
1649,2026-02-14,REDUNDANCY,ROLE_CEASED,TERM-0194
1667,2026-02-15,DISMISSAL,PERFORMANCE,TERM-0195
1684,2026-02-16,RESIGNATION,VOLUNTARY,TERM-0196
1691,2026-02-17,REDUNDANCY,ROLE_CEASED,TERM-0197
1692,2026-02-18,DISMISSAL,PERFORMANCE,TERM-0198
1702,2026-02-19,RESIGNATION,VOLUNTARY,TERM-0199
1714,2026-02-20,REDUNDANCY,ROLE_CEASED,TERM-0200
1716,2026-02-21,DISMISSAL,PERFORMANCE,TERM-0201
1733,2026-02-22,RESIGNATION,VOLUNTARY,TERM-0202
1734,2026-02-23,REDUNDANCY,ROLE_CEASED,TERM-0203
1747,2026-02-24,DISMISSAL,PERFORMANCE,TERM-0204
1752,2026-02-25,RESIGNATION,VOLUNTARY,TERM-0205
1758,2026-02-26,REDUNDANCY,ROLE_CEASED,TERM-0206
1761,2026-02-27,DISMISSAL,PERFORMANCE,TERM-0207
1767,2026-02-28,RESIGNATION,VOLUNTARY,TERM-0208
1780,2026-03-01,REDUNDANCY,ROLE_CEASED,TERM-0209
1783,2026-03-02,DISMISSAL,PERFORMANCE,TERM-0210
1792,2026-03-03,RESIGNATION,VOLUNTARY,TERM-0211
1797,2026-03-04,REDUNDANCY,ROLE_CEASED,TERM-0212
1807,2026-03-05,DISMISSAL,PERFORMANCE,TERM-0213
1809,2026-03-06,RESIGNATION,VOLUNTARY,TERM-0214
1818,2026-03-07,REDUNDANCY,ROLE_CEASED,TERM-0215
1821,2026-03-08,DISMISSAL,PERFORMANCE,TERM-0216
1842,2026-03-09,RESIGNATION,VOLUNTARY,TERM-0217
1844,2026-03-10,REDUNDANCY,ROLE_CEASED,TERM-0218
1862,2026-03-11,DISMISSAL,PERFORMANCE,TERM-0219
1868,2026-03-12,RESIGNATION,VOLUNTARY,TERM-0220
1869,2026-03-13,REDUNDANCY,ROLE_CEASED,TERM-0221
1876,2026-03-14,DISMISSAL,PERFORMANCE,TERM-0222
1878,2026-03-15,RESIGNATION,VOLUNTARY,TERM-0223
1905,2026-03-16,REDUNDANCY,ROLE_CEASED,TERM-0224
1907,2026-03-17,DISMISSAL,PERFORMANCE,TERM-0225
1928,2026-03-18,RESIGNATION,VOLUNTARY,TERM-0226
1933,2026-03-19,REDUNDANCY,ROLE_CEASED,TERM-0227
1939,2026-03-20,DISMISSAL,PERFORMANCE,TERM-0228
1944,2026-03-21,RESIGNATION,VOLUNTARY,TERM-0229
1960,2026-03-22,REDUNDANCY,ROLE_CEASED,TERM-0230
1967,2026-03-23,DISMISSAL,PERFORMANCE,TERM-0231
1968,2026-03-24,RESIGNATION,VOLUNTARY,TERM-0232
2023,2026-03-25,REDUNDANCY,ROLE_CEASED,TERM-0233
2027,2026-03-26,DISMISSAL,PERFORMANCE,TERM-0234
2032,2026-03-27,RESIGNATION,VOLUNTARY,TERM-0235
2044,2026-03-28,REDUNDANCY,ROLE_CEASED,TERM-0236
2055,2026-03-29,DISMISSAL,PERFORMANCE,TERM-0237
